#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
				
52350.22855	36.01069546875216	-2.8605270880075464	35.15277069060024	-3.718451866159465
				
				
				
				
				
				
				
				
52359.494099999996	36.80233738081726	-2.0688851759424507	35.46077069060024	-3.410451866159465
				
				
				
				
53184.155145	37.834081180622604	-1.0371413761371029	35.532770690600245	-3.3384518661594624
				
				
				
53189.96213	37.856337844531346	-1.014884712228361	35.70477069060024	-3.1664518661594654
				
				
				
				
53196.162695	37.98585281104634	-0.8853697457133647	35.62877069060024	-3.242451866159466
53197.176615000004	37.93171767021864	-0.9395048865410683	35.75677069060024	-3.114451866159466
53201.228015	38.05587619318391	-0.8153463635757942	35.700770690600244	-3.170451866159463
				
				
53204.216705	38.096686351283076	-0.7745362054766315	35.75677069060024	-3.114451866159466
				
				
				
				
				
				
				
				
53218.114255	38.17977582660804	-0.6914467301516706	35.72877069060024	-3.1424518661594645
				
53226.27996	38.132399248318904	-0.7388233084408026	35.68077069060024	-3.1904518661594663
#53478.022155	37.821015695505096	-1.050206861254611	35.184770690600246	-3.6864518661594614
#53482.392725	37.60514759042631	-1.2660749663333943	35.316770690600244	-3.5544518661594635
#53483.347725	37.57008906411843	-1.3011334926412799	35.32077069060024	-3.5504518661594657
#53484.496425000005	37.515235651745485	-1.3559869050142224	35.392770690600244	-3.478451866159463
#53486.177265	37.44276927023703	-1.4284532865226778	35.376770690600246	-3.4944518661594612
53488.985105	37.36767416662504	-1.5035483901346707	35.404770690600245	-3.4664518661594625
53490.43957	37.301149024142816	-1.5700735326168909	35.392770690600244	-3.478451866159463
53491.48586	37.24041108352242	-1.6308114732372898	35.43277069060024	-3.438451866159464
53492.347420000006	37.19653082851431	-1.6746917282453948	35.364770690600245	-3.5064518661594617
53493.093405	37.18489675030096	-1.6863258064587496	35.416770690600245	-3.454451866159462
53496.12678	37.12140494715547	-1.7498176096042382	35.40877069060024	-3.4624518661594648
53497.57844500001	36.997637306144995	-1.8735852506147124	35.392770690600244	-3.478451866159463
53499.121575	37.0858713237397	-1.7853512330200045	35.388770690600246	-3.482451866159461
				
				
53502.228665	36.911260998203744	-1.9599615585559629	35.388770690600246	-3.482451866159461
				
				
				
				
				
				
				
				
				
				
				
				
53526.1621	36.13893957263663	-2.732282984123077	35.11677069060024	-3.7544518661594664
				
				
53537.321895	35.975507341819736	-2.8957152149399716	34.91277069060024	-3.958451866159467
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
53860.581455	37.44007358345736	-1.4311489733023448	35.544770690600245	-3.326451866159462
				
				
				
				
				
53869.371885	37.19173032592851	-1.6794922308311966	35.51677069060025	-3.3544518661594607
				
				
				
				
				
53876.222275	36.858763877030384	-2.012458679729323	35.39677069060024	-3.474451866159465
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
54126.75089	38.62240844304673	-0.24881411371297704	36.18077069060024	-2.6904518661594663
#54238.514970000004	37.95455562179396	-0.9166669349657494	35.14477069060025	-3.7264518661594606
#54239.520984999996	37.81896023955672	-1.0522623172029837	35.17677069060024	-3.694451866159464
				
#54243.091685	37.78907587026825	-1.0821466864914582	35.12477069060024	-3.7464518661594637
#54244.59936	37.84918824008625	-1.0220343166734578	35.25677069060024	-3.614451866159466
#54246.078205	37.80030935978859	-1.070913196971115	35.17677069060024	-3.694451866159464
#54247.0742	37.77329643405672	-1.0979261227029893	35.24077069060024	-3.630451866159464
#54252.178445	37.407471088324584	-1.463751468435123	35.316770690600244	-3.5544518661594635
54254.612114999996	37.30183588211568	-1.5693866746440248	35.380770690600244	-3.4904518661594635
54255.32483	37.30371915942989	-1.5675033973298182	35.35677069060024	-3.5144518661594644
54256.275745000006	37.257559701109926	-1.6136628556497807	35.40077069060024	-3.4704518661594674
54257.269790000006	37.265933186962364	-1.6052893697973427	35.428770690600246	-3.4424518661594616
