Source,d(kpc),+-,Ref,Av,+-,Ref,M_BH,+-,Ref,Optical,Outburst,(all with dmag < 0.3),,,,Reddened flux (mJy),,,,De-reddened flux (mJy),,,,,X-ray,F_X_unabs,range,MJD,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,+-,ref(lag),Notes
,,,,,,,(M_sol),,,MJD,,V_mag,g'_mag,R_mag,r'_mag,S_nu_V,S_nu_g',S_nu_R,S_nu_r',F_nu_V,F_nu_g',F_nu_R,F_nu_r',,MJD,0.1-250,keV,,,,,,wrt X-ray(s),,,
,,,,,,,,,,53995.04991,2006hard,19.77,,,,0.04493904868,,,,0.896651903,,,,,,,,,,,,,,,,
,,,,,,,,,,53996.07123,2006hard,19.27,,,,0.07122359233,,,,1.421097497,,,,,,,,,,,,,,,,
,,,,,,,,,,53998.03027,2006hard,19.61,,,,0.05207435202,,,,1.039019922,,,,,,,,,,,,,,,,
,,,,,,,,,,53999.02419,2006hard,19.34,,,,0.06677653416,,,,1.332367021,,,,,,,,,,,,,,,,
,,,,,,,,,,54000.99565,2006hard,19.2,,,,0.07596680732,,,,1.515737078,,,,,,,,,,,,,,,,
,,,,,,,,,,54001.98055,2006hard,19.48,,,,0.05869807713,,,,1.171180613,,,,,,,,,,,,,,,,
,,,,,,,,,,54002.99682,2006hard,19.39,,,,0.06377109505,,,,1.272400627,,,,,,,,,,,,,,,,
,,,,,,,,,,54004.00762,2006hard,19.59,,,,0.0530424865,,,,1.058336744,,,,,,,,,,,,,,,,
,,,,,,,,,,54005.06195,2006hard,19.36,,,,0.06555772506,,,,1.308048583,,,,,,,,,,,,,,,,
,,,,,,,,,,54005.99823,2006hard,20.1,,,,0.03316071412,,,,0.6616432322,,,,,,,,,,,,,,,,
,,,,,,,,,,54007.00055,2006hard,19.48,,,,0.05869807713,,,,1.171180613,,,,,,,,,,,,,,,,
,,,,,,,,,,54008.02532,2006hard,19.18,,,,0.07737913571,,,,1.543916735,,,,,,,,,,,,,,,,
,,,,,,,,,,54011.00145,2006hard,18.6,,,,0.1320151807,,,,2.634049151,,,,,,,,,,,,,,,,
,,,,,,,,,,54012.00984,2006hard,18.59,,,,0.1332367021,,,,2.658421708,,,,,,,,,,,,,,,,
,,,,,,,,,,54013.00552,2006hard,18.93,,,,0.09741456029,,,,1.943676011,,,,,,,,,,,,,,,,
,,,,,,,,,,54015.00263,2006hard,19.12,,,,0.08177562547,,,,1.631638238,,,,,,,,,,,,,,,,
,,,,,,,,,,54016.00117,2006hard,19.23,,,,0.07389650092,,,,1.474429035,,,,,,,,,,,,,,,,
,,,,,,,,,,54018.01289,2006hard,20.28,,,,0.02809466607,,,,0.5605622847,,,,,,,,,,,,,,,,
,,,,,,,,,,54019.01475,2006hard,19.67,,,,0.04927468703,,,,0.9831592612,,,,,,,,,,,,,,,,
,,,,,,,,,,54367.01246,2008hard,16.84,,,,0.6677653416,,,,13.32367021,,,,,54366.99,0.0000000031219,,54367.00123,37.61478288,-1.25643968,35.45098459,-3.420237962,,,,
,,,,,,,,,,54368.98376,2008hard,16.81,,,,0.6864736545,,,,13.69695013,,,,,,,,,,,,,,,,
,,,,,,,,,,54369.98266,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,,,,,,,,,,,,
,,,,,,,,,,54371.01582,2008hard,16.83,,,,0.6739440983,,,,13.44695262,,,,,,,,,,,,,,,,
,,,,,,,,,,54371.99358,2008hard,16.81,,,,0.6864736545,,,,13.69695013,,,,,,,,,,,,,,,,
,,,,,,,,,,54372.99951,2008hard,16.91,,,,0.6260714139,,,,12.49176699,,,,,,,,,,,,,,,,
,,,,,,,,,,54375.00653,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,54374.95,0.00000000092943,,54374.97827,37.08858058,-1.782641981,35.41098459,-3.460237962,,,,
,,,,,,,,,,54498.38162,2008hard,17.19,,,,0.4837532264,,,,9.652145823,,,,,54497.73,0.00000000030851,,54498.05581,36.60963313,-2.261589422,35.31098459,-3.560237962,,,,
,,,,,,,,,,54499.36945,2008hard,16.96,,,,0.5978935586,,,,11.92954486,,,,,,,,,,,,,,,,
,,,,,,,,,,54501.3716,2008hard,16.94,,,,0.6090092297,,,,12.15133166,,,,,,,,,,,,,,,,
,,,,,,,,,,54502.35013,2008hard,17.19,,,,0.4837532264,,,,9.652145823,,,,,,,,,,,,,,,,
,,,,,,,,,,54502.35901,2008hard,17.02,,,,0.5657491037,,,,11.28817866,,,,,,,,,,,,,,,,
,,,,,,,,,,54503.36363,2008hard,17.16,,,,0.497306201,,,,9.922563218,,,,,,,,,,,,,,,,
,,,,,,,,,,54506.34846,2008hard,17.15,,,,0.5019077186,,,,10.01437557,,,,,,,,,,,,,,,,
,,,,,,,,,,54507.36527,2008hard,17.23,,,,0.4662553999,,,,9.303018285,,,,,,,,,,,,,,,,
,,,,,,,,,,54508.3678,2008hard,17.19,,,,0.4837532264,,,,9.652145823,,,,,,,,,,,,,,,,
,,,,,,,,,,54509.35058,2008hard,17.32,,,,0.4291645831,,,,8.562959196,,,,,,,,,,,,,,,,
,,,,,,,,,,54510.3555,2008hard,17.33,,,,0.4252299786,,,,8.484453514,,,,,,,,,,,,,,,,
,,,,,,,,,,54511.34928,2008hard,17.21,,,,0.4749237349,,,,9.475974308,,,,,,,,,,,,,,,,
,,,,,,,,,,54512.34762,2008hard,17.14,,,,0.5065518136,,,,10.10703744,,,,,,,,,,,,,,,,
,,,,,,,,,,54514.34005,2008hard,17.08,,,,0.5353328259,,,,10.68129413,,,,,,,,,,,,,,,,
,,,,,,,,,,54515.33569,2008hard,17.35,,,,0.4174686568,,,,8.329594785,,,,,,,,,,,,,,,,
,,,,,,,,,,54516.32695,2008hard,17.19,,,,0.4837532264,,,,9.652145823,,,,,,,,,,,,,,,,
,,,,,,,,,,54517.33488,2008hard,17.21,,,,0.4749237349,,,,9.475974308,,,,,,,,,,,,,,,,
,,,,,,,,,,54518.33839,2008hard,17.41,,,,0.3950243567,,,,7.881772125,,,,,,,,,,,,,,,,
,,,,,,,,,,54519.33474,2008hard,17.28,,,,0.4452704501,,,,8.88431349,,,,,,,,,,,,,,,,
,,,,,,,,,,54520.37049,2008hard,17.23,,,,0.4662553999,,,,9.303018285,,,,,,,,,,,,,,,,
,,,,,,,,,,54521.34593,2008hard,16.51,,,,0.9049485209,,,,18.05609681,,,,,,,,,,,,,,,,
,,,,,,,,,,54522.35819,2008hard,17.32,,,,0.4291645831,,,,8.562959196,,,,,,,,,,,,,,,,
,,,,,,,,,,54525.37494,2008hard,17.39,,,,0.4023684079,,,,8.028305209,,,,,,,,,,,,,,,,
,,,,,,,,,,54526.38282,2008hard,17.68,,,,0.3080518878,,,,6.146443227,,,,,,,,,,,,,,,,
,,,,,,,,,,54536.3333,2008hard,17.62,,,,0.3255546288,,,,6.495668822,,,,,,,,,,,,,,,,
,,,,,,,,,,54538.22577,2008hard,17.74,,,,0.2914901438,,,,5.815992992,,,,,,,,,,,,,,,,
,,,,,,,,,,54539.26032,2008hard,17.65,,,,0.3166823613,,,,6.318643813,,,,,,,,,,,,,,,,
,,,,,,,,,,54540.236,2008hard,17.59,,,,0.3346754643,,,,6.677653416,,,,,,,,,,,,,,,,
,,,,,,,,,,54541.35494,2008hard,17.88,,,,0.2562263999,,,,5.112388798,,,,,,,,,,,,,,,,
,,,,,,,,,,54542.35757,2008hard,17.74,,,,0.2914901438,,,,5.815992992,,,,,,,,,,,,,,,,
,,,,,,,,,,54543.37934,2008hard,17.83,,,,0.2683019781,,,,5.353328259,,,,,,,,,,,,,,,,
,,,,,,,,,,54544.22562,2008hard,17.45,,,,0.3807359401,,,,7.596680732,,,,,,,,,,,,,,,,
,,,,,,,,,,54545.24744,2008hard,17.93,,,,0.2446943122,,,,4.882293399,,,,,,,,,,,,,,,,
,,,,,,,,,,54546.26143,2008hard,18.11,,,,0.2073117294,,,,4.136412811,,,,,,,,,,,,,,,,
,,,,,,,,,,54547.33673,2008hard,17.92,,,,0.2469584408,,,,4.927468703,,,,,,,,,,,,,,,,
,,,,,,,,,,54548.32068,2008hard,18.11,,,,0.2073117294,,,,4.136412811,,,,,,,,,,,,,,,,
,,,,,,,,,,54550.25122,2008hard,17.87,,,,0.2585972336,,,,5.159693149,,,,,,,,,,,,,,,,
,,,,,,,,,,54551.33716,2008hard,18.04,,,,0.2211178865,,,,4.41188186,,,,,,,,,,,,,,,,
,,,,,,,,,,54552.32395,2008hard,18.08,,,,0.2131198366,,,,4.252299786,,,,,,,,,,,,,,,,
,,,,,,,,,,54553.34689,2008hard,17.96,,,,0.2380257129,,,,4.749237349,,,,,,,,,,,,,,,,
,,,,,,,,,,54554.35594,2008hard,18,,,,0.2294160905,,,,4.577452797,,,,,,,,,,,,,,,,
,,,,,,,,,,54555.3598,2008hard,18.07,,,,0.2150918102,,,,4.291645831,,,,,,,,,,,,,,,,
,,,,,,,,,,54556.32746,2008hard,18.13,,,,0.2035278639,,,,4.060914769,,,,,,,,,,,,,,,,
,,,,,,,,,,54557.28975,2008hard,18.15,,,,0.1998130617,,,,3.986794721,,,,,,,,,,,,,,,,
,,,,,,,,,,54558.33909,2008hard,18.16,,,,0.1979811646,,,,3.950243567,,,,,,,,,,,,,,,,
,,,,,,,,,,54559.35609,2008hard,18.06,,,,0.2170820302,,,,4.331355941,,,,,,,,,,,,,,,,
,,,,,,,,,,54560.34534,2008hard,18.1,,,,0.2092299612,,,,4.174686568,,,,,,,,,,,,,,,,
,,,,,,,,,,54561.20842,2008hard,18.26,,,,0.1805609681,,,,3.602664952,,,,,,,,,,,,,,,,
,,,,,,,,,,54562.24501,2008hard,18.14,,,,0.2016619092,,,,4.023684079,,,,,,,,,,,,,,,,
,,,,,,,,,,54566.31614,2008hard,17.95,,,,0.2402281377,,,,4.793181501,,,,,,,,,,,,,,,,
,,,,,,,,,,54567.32998,2008hard,18.16,,,,0.1979811646,,,,3.950243567,,,,,,,,,,,,,,,,
,,,,,,,,,,54569.34508,2008hard,18.24,,,,0.1839178471,,,,3.669643494,,,,,,,,,,,,,,,,
,,,,,,,,,,54571.23118,2008hard,18.28,,,,0.177265359,,,,3.536908906,,,,,,,,,,,,,,,,
,,,,,,,,,,54572.31762,2008hard,18.13,,,,0.2035278639,,,,4.060914769,,,,,,,,,,,,,,,,
,,,,,,,,,,54573.30411,2008hard,18.34,,,,0.1677350701,,,,3.346754643,,,,,,,,,,,,,,,,
,,,,,,,,,,54574.323,2008hard,17.82,,,,0.2707845457,,,,5.402861995,,,,,,,,,,,,,,,,
,,,,,,,,,,54575.28561,2008hard,18.32,,,,0.1708534979,,,,3.408975457,,,,,,,,,,,,,,,,
,,,,,,,,,,54576.35793,2008hard,18.34,,,,0.1677350701,,,,3.346754643,,,,,,,,,,,,,,,,
,,,,,,,,,,54577.32905,2008hard,18.34,,,,0.1677350701,,,,3.346754643,,,,,,,,,,,,,,,,
,,,,,,,,,,54578.23755,2008hard,18.08,,,,0.2131198366,,,,4.252299786,,,,,,,,,,,,,,,,
,,,,,,,,,,54579.27963,2008hard,18.38,,,,0.1616679289,,,,3.22569926,,,,,,,,,,,,,,,,
,,,,,,,,,,54580.27117,2008hard,18.36,,,,0.1646735601,,,,3.285669486,,,,,,,,,,,,,,,,
,,,,,,,,,,54581.32839,2008hard,17.94,,,,0.2424509413,,,,4.837532264,,,,,,,,,,,,,,,,
,,,,,,,,,,54582.34053,2008hard,17.98,,,,0.233681254,,,,4.662553999,,,,,,,,,,,,,,,,
,,,,,,,,,,54583.3405,2008hard,18.12,,,,0.205411084,,,,4.098489951,,,,,,,,,,,,,,,,
,,,,,,,,,,54584.34634,2008hard,18.36,,,,0.1646735601,,,,3.285669486,,,,,,,,,,,,,,,,
