#MJD RXTE/ASMcpuntrate(1.5-12keV) +-
54248.691651 1.506000 0.411000 
54249.578797 1.734000 0.284000 
54251.634177 2.002000 0.398000 
54252.552864 1.704000 0.313000 
54254.720572 2.658000 0.671000 
54255.380572 1.428000 0.375000 
54256.465933 2.379000 0.352000 
54257.645331 1.405000 0.357000 
54258.360650 1.700000 0.422000 
54261.524990 2.364000 0.527000 
54263.778140 1.378000 0.222000 
54264.421100 0.964000 0.299000 
54266.467948 2.033000 0.428000 
54267.465960 1.546000 0.322000 
54268.641067 1.637000 0.393000 
54269.679932 1.485000 0.238000 
54270.305732 1.986000 0.206000 
54271.409407 2.428000 0.348000 
54272.446945 1.456000 0.371000 
54274.488324 1.618000 0.270000 
54275.719492 1.660000 0.482000 
54276.398817 2.004000 0.257000 
54277.594349 1.823000 0.330000 
54278.353155 1.150000 0.288000 
54279.505210 2.017000 0.322000 
54280.486840 1.554000 0.309000 
54281.598434 2.252000 0.396000 
54282.538292 1.660000 0.526000 
54283.669161 2.343000 0.427000 
54284.569557 2.179000 0.395000 
54285.461679 2.163000 0.445000 
54286.508866 2.376000 0.352000 
54287.569229 1.013000 0.291000 
54288.398006 1.511000 0.480000 
54289.340271 2.615000 0.510000 
54292.722278 1.880000 0.515000 
54293.524147 2.770000 0.704000 
54294.418385 2.171000 0.384000 
54295.181077 2.997000 0.497000 
54296.455417 1.929000 0.258000 
54298.287406 1.631000 0.309000 
54299.543370 3.228000 0.460000 
54300.507048 1.778000 0.356000 
54301.366705 1.654000 0.273000 
54302.589510 1.457000 0.351000 
54303.436776 1.442000 0.248000 
54304.558776 1.946000 0.233000 
54305.521065 1.612000 0.355000 
54306.690309 1.909000 0.257000 
54307.583023 2.159000 0.234000 
54308.614224 1.783000 0.300000 
54309.491315 1.364000 0.334000 
54310.493259 1.702000 0.222000 
54311.560201 1.884000 0.260000 
54312.651785 2.927000 0.403000 
54313.584673 2.108000 0.310000 
54314.546160 1.793000 0.353000 
54315.493008 2.159000 0.278000 
54316.504986 1.800000 0.240000 
54317.430982 2.104000 0.292000 
54318.539285 1.310000 0.316000 
54319.498482 1.757000 0.185000 
54320.562385 1.783000 0.197000 
54321.557155 1.306000 0.232000 
54322.597757 1.698000 0.197000 
54323.506560 1.123000 0.286000 
54324.589802 1.194000 0.190000 
54325.503158 1.823000 0.266000 
54326.558483 1.336000 0.195000 
54327.548507 1.799000 0.215000 
54328.533393 1.428000 0.244000 
54329.643991 1.574000 0.216000 
54330.614672 1.728000 0.181000 
54331.525855 1.174000 0.244000 
54332.601291 1.288000 0.253000 
54333.522951 1.329000 0.246000 
54334.377775 1.569000 0.325000 
54335.583273 1.822000 0.264000 
54336.417142 1.596000 0.308000 
54337.298528 1.754000 0.406000 
54338.244453 1.441000 0.275000 
54339.472358 1.514000 0.275000 
54340.251596 1.936000 0.290000 
54341.304972 1.209000 0.282000 
54342.504564 1.474000 0.346000 
54343.302674 1.409000 0.272000 
54344.271368 1.724000 0.320000 
54347.354117 1.634000 0.335000 
54348.565844 1.841000 0.286000 
54350.555972 1.453000 0.268000 
54351.333841 1.835000 0.360000 
54352.530535 1.361000 0.215000 
54353.523840 1.370000 0.335000 
54354.558967 1.304000 0.275000 
54356.675464 1.298000 0.264000 
54357.372638 1.184000 0.289000 
54358.452862 1.420000 0.264000 
54359.445446 1.129000 0.220000 
54360.475818 0.992000 0.282000 
54361.468907 1.110000 0.284000 
54362.443734 1.476000 0.224000 
54364.551509 1.403000 0.250000 
54365.540228 1.487000 0.216000 
54366.498966 1.263000 0.186000 
54367.521501 1.439000 0.205000 
54368.621772 1.260000 0.204000 
54369.649928 1.576000 0.163000 
54370.613254 1.385000 0.167000 
54371.594631 1.554000 0.168000 
54372.613355 1.349000 0.178000 
54373.532773 1.511000 0.225000 
54374.595431 1.254000 0.159000 
54375.534147 1.047000 0.196000 
54376.490845 1.619000 0.178000 
54377.512162 1.345000 0.175000 
54378.526135 1.174000 0.329000 
54379.513581 1.033000 0.277000 
54380.497343 1.238000 0.231000 
54381.489228 1.294000 0.215000 
54382.410342 0.982000 0.256000 
54383.540990 1.233000 0.327000 
54385.333119 1.836000 0.291000 
54387.465695 1.555000 0.493000 
54389.254985 2.944000 0.521000 
54394.594496 1.166000 0.320000 
54396.436755 1.918000 0.267000 
54397.575925 1.663000 0.394000 
54398.379597 2.027000 0.311000 
54399.325362 2.498000 0.369000 
54401.254578 2.066000 0.442000 
54402.205655 1.642000 0.312000 
