Source,d(kpc),d_err,Av,Av_err,M_BH,M_BH_err,Optical,Outburst,V_mag,Reddened flux (mJy),De-reddened flux (mJy),X-ray MJD,F_X_unabs,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,lag_err
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54367.01246,2008hard,16.84,0.667765342,13.32367021,54366.99,3.12E-09,37.61478288,-1.25643968,35.45098459,-3.420237962,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54368.98376,2008hard,16.81,0.686473655,13.69695013,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54369.98266,2008hard,16.94,0.60900923,12.15133166,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54371.01582,2008hard,16.83,0.673944098,13.44695262,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54371.99358,2008hard,16.81,0.686473655,13.69695013,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54372.99951,2008hard,16.91,0.626071414,12.49176699,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54375.00653,2008hard,16.94,0.60900923,12.15133166,54374.95,9.29E-10,37.08858058,-1.782641981,35.41098459,-3.460237962,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54498.38162,2008hard,17.19,0.483753226,9.652145823,54497.73,3.09E-10,36.60963313,-2.261589422,35.31098459,-3.560237962,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54499.36945,2008hard,16.96,0.597893559,11.92954486,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54501.3716,2008hard,16.94,0.60900923,12.15133166,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54502.35013,2008hard,17.19,0.483753226,9.652145823,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54502.35901,2008hard,17.02,0.565749104,11.28817866,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54503.36363,2008hard,17.16,0.497306201,9.922563218,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54506.34846,2008hard,17.15,0.501907719,10.01437557,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54507.36527,2008hard,17.23,0.4662554,9.303018285,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54508.3678,2008hard,17.19,0.483753226,9.652145823,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54509.35058,2008hard,17.32,0.429164583,8.562959196,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54510.3555,2008hard,17.33,0.425229979,8.484453514,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54511.34928,2008hard,17.21,0.474923735,9.475974308,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54512.34762,2008hard,17.14,0.506551814,10.10703744,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54514.34005,2008hard,17.08,0.535332826,10.68129413,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54515.33569,2008hard,17.35,0.417468657,8.329594785,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54516.32695,2008hard,17.19,0.483753226,9.652145823,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54517.33488,2008hard,17.21,0.474923735,9.475974308,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54518.33839,2008hard,17.41,0.395024357,7.881772125,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54519.33474,2008hard,17.28,0.44527045,8.88431349,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54520.37049,2008hard,17.23,0.4662554,9.303018285,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54521.34593,2008hard,16.51,0.904948521,18.05609681,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54522.35819,2008hard,17.32,0.429164583,8.562959196,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54525.37494,2008hard,17.39,0.402368408,8.028305209,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54526.38282,2008hard,17.68,0.308051888,6.146443227,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54536.3333,2008hard,17.62,0.325554629,6.495668822,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54538.22577,2008hard,17.74,0.291490144,5.815992992,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54539.26032,2008hard,17.65,0.316682361,6.318643813,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54540.236,2008hard,17.59,0.334675464,6.677653416,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54541.35494,2008hard,17.88,0.2562264,5.112388798,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54542.35757,2008hard,17.74,0.291490144,5.815992992,,,,,,,10,5
