56148.464457 16.614267  0.030741 
56148.490663 16.624600  0.029648 
56150.420376 16.625933  0.019570 
56153.498867 16.601933  0.017578 
56154.352010 16.589267  0.030232 
56156.402581 16.596600  0.019131 
56160.394521 16.622933  0.021119 
56163.428387 16.593600  0.019723 
56171.398930 16.588933  0.021260 
56174.397653 16.434933  0.018055 
56181.391243 16.577600  0.018628 
56192.463255 16.657933  0.036973 
56195.432723 16.596933  0.026268 
56196.299308 16.572267  0.036524 
56199.328402 16.544600  0.058489 
56201.212758 16.551933  0.086360 
56204.442472 16.630933  0.019131 
56216.258483 16.607933  0.033317 
56219.250138 16.596267  0.029360 
56317.659164 16.625600  0.039446 
56351.645766 16.617267  0.047728 
56353.559726 16.629600  0.083994 
56357.633070 16.561600  0.038497 
56362.700150 16.591600  0.024290 
56368.623877 16.589933  0.098676 
56368.669913 16.651600  0.042907 
56377.631019 16.657600  0.062442 
56380.725096 16.576600  0.030838 
56389.582964 16.637267  0.035763 
56389.668194 16.611600  0.021703 
56392.731682 16.633933  0.022605 
56401.592216 16.598267  0.034380 
56411.508584 16.612933  0.074853 
56431.694018 16.637600  0.027092 
56441.550204 16.686933  0.017578 
56443.470898 16.651933  0.038341 
56447.491380 16.749267  0.036249 
56447.495032 16.759600  0.036249 
56447.549027 16.686267  0.034205 
56447.551909 16.655267  0.035299 
56447.554922 16.652600  0.035299 
56447.557906 16.662267  0.035185 
56447.609518 16.647267  0.025100 
56447.612506 16.670933  0.026153 
56447.615672 16.667933  0.027092 
56447.797203 16.702933  0.038743 
56448.506491 16.620267  0.060967 
56449.584954 16.655600  0.041893 
56453.501851 16.666933  0.041893 
56456.548861 16.754933  0.054873 
56457.357975 16.712267  0.043875 
56457.377414 16.734267  0.053075 
56457.398535 16.686933  0.048436 
56457.579665 16.585933  0.050458 
56457.582849 16.599933  0.055018 
56460.548415 16.650267  0.037749 
56460.552867 16.624600  0.043405 
56461.440203 16.723600  0.040398 
56461.443173 16.725267  0.039737 
56461.446249 16.756600  0.040398 
56461.449331 16.701933  0.039421 
56461.452286 16.686933  0.038341 
56461.455691 16.692267  0.075776 
56461.459669 16.680267  0.038341 
56461.481341 16.642600  0.035299 
56461.484425 16.638933  0.035763 
56461.487419 16.640600  0.035299 
56461.490822 16.665267  0.035763 
56461.493802 16.636600  0.035299 
#56461.502228 17.413933  0.017493 
56461.523284 16.654600  0.035763 
56461.526246 16.669933  0.035763 
56461.529208 16.698267  0.035763 
56461.532317 16.684267  0.035763 
56461.535244 16.662267  0.035763 
56461.538333 16.740933  0.053572 
56549.249171 16.633267  0.082638 
56567.234679 16.623600  0.094372 
56570.234245 16.625600  0.044520 
56573.247135 16.659933  0.052125 
56575.238959 16.688267  0.061474 
56579.239673 16.646933  0.069871 
56581.252978 16.687600  0.079987 
56582.224645 16.599267  0.070043 
56585.222446 16.518267  0.070640 
56587.236702 16.639600  0.047371 
56589.231412 16.632600  0.054982 
56590.254286 16.674600  0.053207 
56601.215667 16.655933  0.062073 
56713.765177 16.647600  0.049830 
56812.425747 16.691933  0.014071 
56820.596109 16.720267  0.041340 
56825.693434 16.743267  0.024597 
56826.553238 16.833267  0.017146 
56826.574732 16.761267  0.017635 
56839.365260 16.808267  0.014071 
56840.285529 16.731933  0.016062 
56855.468545 16.679600  0.014663 
56862.457249 16.675600  0.018628 
56869.595436 16.689933  0.022605 
56874.343407 16.620933  0.016186 
56880.457451 16.669600  0.029648 
56888.352619 16.665600  0.014071 
56897.232190 16.690267  0.015166 
56932.292222 16.727933  0.032558 
56938.269257 16.726267  0.067454 
57051.670347 16.773600  0.022181 
57055.660029 16.916267  0.020712 
57070.619124 16.882267  0.017635 
57104.576922 16.951267  0.022694 
57114.498420 17.058600  0.029360 
57121.489069 17.061267  0.036973 
